"AGEGROUP","SEX","DISTRICT","POPULATION","REGION","PROVINCE","CD_DSTR_REFNIS"
"50-59","F","Eeklo",6159,"Flanders","Oost-Vlaanderen",43000
"60-69","F","Eeklo",5287,"Flanders","Oost-Vlaanderen",43000
"70-79","F","Eeklo",4079,"Flanders","Oost-Vlaanderen",43000
"80-89","F","Eeklo",2978,"Flanders","Oost-Vlaanderen",43000
"90+","F","Eeklo",729,"Flanders","Oost-Vlaanderen",43000
"All","F","Eeklo",42976,"Flanders","Oost-Vlaanderen",43000
"0-9","M","Eeklo",4253,"Flanders","Oost-Vlaanderen",43000
"10-19","M","Eeklo",4576,"Flanders","Oost-Vlaanderen",43000
"20-29","M","Eeklo",4948,"Flanders","Oost-Vlaanderen",43000
"30-39","M","Eeklo",5089,"Flanders","Oost-Vlaanderen",43000
"40-49","M","Eeklo",5794,"Flanders","Oost-Vlaanderen",43000
"50-59","M","Eeklo",6540,"Flanders","Oost-Vlaanderen",43000
"60-69","M","Eeklo",5346,"Flanders","Oost-Vlaanderen",43000
"70-79","M","Eeklo",3790,"Flanders","Oost-Vlaanderen",43000
"80-89","M","Eeklo",2066,"Flanders","Oost-Vlaanderen",43000
"90+","M","Eeklo",314,"Flanders","Oost-Vlaanderen",43000
"All","M","Eeklo",42716,"Flanders","Oost-Vlaanderen",43000
"0-9","All","Eeklo",8298,"Flanders","Oost-Vlaanderen",43000
"10-19","All","Eeklo",9076,"Flanders","Oost-Vlaanderen",43000
"20-29","All","Eeklo",9626,"Flanders","Oost-Vlaanderen",43000
"30-39","All","Eeklo",9985,"Flanders","Oost-Vlaanderen",43000
"40-49","All","Eeklo",11419,"Flanders","Oost-Vlaanderen",43000
"50-59","All","Eeklo",12699,"Flanders","Oost-Vlaanderen",43000
"60-69","All","Eeklo",10633,"Flanders","Oost-Vlaanderen",43000
"70-79","All","Eeklo",7869,"Flanders","Oost-Vlaanderen",43000
"80-89","All","Eeklo",5044,"Flanders","Oost-Vlaanderen",43000
"90+","All","Eeklo",1043,"Flanders","Oost-Vlaanderen",43000
"All","All","Eeklo",85692,"Flanders","Oost-Vlaanderen",43000
"0-9","F","Gent",29057,"Flanders","Oost-Vlaanderen",44000
"10-19","F","Gent",29039,"Flanders","Oost-Vlaanderen",44000
"20-29","F","Gent",37859,"Flanders","Oost-Vlaanderen",44000
"30-39","F","Gent",38657,"Flanders","Oost-Vlaanderen",44000
